FRED Graph Observations,,,,,,
Federal Reserve Economic Data,,,,,,
Link: https://fred.stlouisfed.org,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,
Economic Research Division,,,,,,
Federal Reserve Bank of St. Louis,,,,,,
,,,,,,
CATEPUINDXM,"Economic Policy Uncertainty Index: Categorical Index: Overall, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTRADE,"Economic Policy Uncertainty Index: Categorical Index: Trade policy, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUSOVDEBT,"Economic Policy Uncertainty Index: Categorical Index: Sovereign debt, currency crises, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTAXES,"Economic Policy Uncertainty Index: Categorical Index: Taxes, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUHEALTHCARE,"Economic Policy Uncertainty Index: Categorical Index: Health care, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUREG,"Economic Policy Uncertainty Index: Categorical Index: Regulation, Index, Monthly, Not Seasonally Adjusted",,,,,
,,,,,,
Frequency: Monthly,,,,,,
observation_date,CATEPUINDXM,EPUTRADE,EPUSOVDEBT,EPUTAXES,EPUHEALTHCARE,EPUREG
1985-01-01,213.678834543780000,122.990739667489000,0.0000000000000000,295.790786367432000,107.848241250335000,129.632820156178000
1985-02-01,155.426022013827000,41.890554143221600,129.2102243282140000,139.125595789847000,36.733030483128600,55.191052250886900
1985-03-01,121.137374942019000,108.257372043657000,111.3055963174870000,115.714342192434000,31.642943766488700,85.577835851645700
1985-04-01,104.982353284423000,195.351321578391000,0.0000000000000000,85.760217371197800,38.066635504641000,60.054521056271600
1985-05-01,115.736777843909000,124.773900684429000,96.2153880957319000,132.177769483788000,54.705930621851600,65.756140142496600
1985-06-01,139.792431163425000,153.634268582773000,0.0000000000000000,190.022394559127000,26.943793829078900,89.062184352848500
1985-07-01,120.505154049073000,59.308842776716800,182.9364408411950000,122.260140125038000,26.003398310126500,39.069875149396600
1985-08-01,122.683834355945000,110.001249462857000,169.6478646580450000,122.827374235016000,56.267169147499200,57.970918083448100
1985-09-01,91.711134188006200,280.583419901901000,86.5451588545491000,67.479869329044700,24.603826631366600,51.753843574928700
1985-10-01,86.338619300529600,122.167806509420000,75.3646257855590000,89.542596607938500,7.141775120670620,64.382722361563000
1985-11-01,115.883429409367000,93.699002478685900,289.0119115686110000,83.162895869646900,34.234530758024200,117.276539187755000
1985-12-01,126.422132336203000,70.381123451727900,0.0000000000000000,137.024444522205000,6.857318781355060,98.909381779191500
1986-01-01,149.458482584002000,116.679411620888000,119.9647769317650000,155.895634498528000,85.261631400442600,143.477425704707000
1986-02-01,157.869092871589000,42.297243380662600,65.2323228644233000,196.182390115167000,55.634472814879200,150.462542846180000
1986-03-01,101.727199736724000,165.821655199077000,0.0000000000000000,103.392193785340000,64.624825225014100,135.937516788083000
1986-04-01,105.767016609820000,112.244015409462000,0.0000000000000000,117.833171701727000,21.872142904621700,73.941076288141700
1986-05-01,126.261047956947000,128.266868184621000,113.0387175478320000,100.728095385870000,32.135650867000400,111.052119425388000
1986-06-01,152.263017752119000,152.362294668749000,293.7232312265790000,157.040962391585000,50.101349776357000,105.387566660574000
1986-07-01,143.292328424946000,113.166374575279000,116.3528226060200000,172.802122849561000,22.051876063762100,89.458419731670800
1986-08-01,138.322487157452000,54.304972811771400,111.6680973815180000,211.451831667053000,37.036998587693800,62.007505816187700
1986-09-01,169.477825744395000,74.143688803889300,171.5205765144190000,227.138581637185000,81.268988817063900,87.916272722785000
1986-10-01,118.880497744642000,152.344808625212000,0.0000000000000000,147.330165358340000,39.581708510961500,93.667085981039800
1986-11-01,93.860381023365500,53.124393049878700,54.6202271106006000,109.511422483623000,56.935719178277200,97.988381810931900
1986-12-01,89.364052817386800,70.371477140680900,108.5294111480080000,122.902139941093000,92.561115548158600,78.807610894330700
1987-01-01,113.313317857642000,81.183081708832300,50.0813818952609000,159.914157325563000,75.933760912412300,81.288983759026100
1987-02-01,75.621466145197300,83.109282410233700,102.5392883299520000,68.529089676694900,43.726169777107900,96.357333552381400
1987-03-01,84.349750678901400,119.353588273036000,92.0356881793106000,100.806941594390000,56.690233352977900,114.005566160219000
1987-04-01,86.860823776812700,137.198196546756000,94.0408755668067000,90.782506772015600,35.646367427610500,72.303773384814500
1987-05-01,97.970268330421300,74.933194263263900,46.2258618364572000,77.234206584788400,39.424496028292300,78.979940456650300
1987-06-01,109.311311330617000,173.392295711063000,145.8609847657180000,70.403565244667600,41.466656586620900,128.760119139786000
1987-07-01,74.655767846503100,73.486436866927900,45.3333654178615000,62.277596574931000,38.663315595687800,61.964041065488200
1987-08-01,61.516160483899500,29.632140418133800,0.0000000000000000,45.813104801651400,30.314503976113000,58.560779759491800
1987-09-01,75.565305497710900,71.881502291416700,133.0298711881690000,57.624625901465100,42.021015140489100,71.975270577904900
1987-10-01,212.342544589167000,257.296527498202000,250.6180517067030000,186.103484167210000,43.540399371604700,189.120565628545000
1987-11-01,204.114623472144000,85.840948537490500,308.9029619664020000,160.569208682372000,87.817678339584100,162.104203866918000
1987-12-01,153.977196394340000,85.024524286120100,305.9650183186870000,123.338734043168000,41.420216008833600,123.222343659675000
1988-01-01,197.518097247753000,133.485393444301000,370.5587139109720000,214.020175297761000,156.067738156521000,214.558708030798000
1988-02-01,104.343342998557000,125.803351508349000,43.1152071341259000,91.246768174863900,61.285870610412400,66.298663156333100
1988-03-01,85.181048704134500,99.534337716584300,76.7527093384195000,71.243604211067900,47.276541186839500,118.023369502408000
1988-04-01,84.868279293923900,101.126145866760000,116.9702716412320000,70.935311885993400,29.558531549178900,86.602291005693900
1988-05-01,93.415279437372100,74.206973073736400,0.0000000000000000,79.318488092028700,32.535341913343200,58.660874921208800
1988-06-01,84.388021883970300,75.914855481420200,0.0000000000000000,62.307009699916500,33.284146719416700,63.344904344630600
1988-07-01,87.101178937424300,25.444504064462900,274.6899750710230000,68.478586401108900,59.498138266523300,60.341911623636000
1988-08-01,101.878628044098000,111.008350766926000,38.0446782979077000,59.327406736244200,50.473169309037900,32.500923804208900
1988-09-01,84.657605145396300,95.236132226263900,36.7191430764893000,65.440398237549700,55.673835780131200,106.653041211063000
1988-10-01,103.588343578408000,59.523207586505100,73.4390572031300000,72.257865035892400,52.194769046340800,122.338596432792000
1988-11-01,123.356165369362000,206.420870671912000,187.2645035522660000,143.230280598806000,70.982955651354000,70.389832132415800
1988-12-01,87.849601451606000,100.703451386981000,194.1355845378970000,82.171678413671600,47.831843526299300,63.021760907294200
1989-01-01,109.653136272278000,104.747670028877000,129.2364851132330000,130.756655381889000,119.406612430288000,146.286013705009000
1989-02-01,71.734183465441300,43.893083863390200,33.8467425917511000,77.914937537550400,32.074175601337500,98.309974853678700
1989-03-01,70.521058890503500,66.524135990529200,0.0000000000000000,57.683287805338600,36.111369083850400,95.158450967342400
